jetz_scientific_name,region_count,city_count,urban_tolerance
Macropygia_tenuirostris,1,1,1.0
Ducula_carola,1,1,1.0
Ducula_poliocephala,1,0,0.0
Gallicolumba_crinigera,1,0,0.0
Ptilinopus_occipitalis,1,0,0.0
Phapitreron_amethystinus,1,0,0.0
Phapitreron_leucotis,1,0,0.0
Phapitreron_brunneiceps,1,0,0.0
Columba_albitorques,1,1,1.0
Leptotila_conoveri,1,0,0.0
Treron_seimundi,1,0,0.0
Geotrygon_versicolor,1,0,0.0
Patagioenas_caribaea,1,0,0.0
Columba_albinucha,1,0,0.0
Columba_torringtoniae,1,0,0.0
Columba_iriditorques,1,0,0.0
Turtur_brehmeri,1,0,0.0
Columba_janthina,1,0,0.0
Geotrygon_chiriquensis,1,0,0.0
Geotrygon_costaricensis,1,0,0.0
Geotrygon_mystacea,1,0,0.0
Ptilinopus_porphyreus,1,0,0.0
Treron_oxyurus,1,0,0.0
Leptotila_ochraceiventris,1,0,0.0
Columbina_buckleyi,1,1,1.0
Leptotila_pallida,1,0,0.0
Alectroenas_madagascariensis,1,0,0.0
Nesoenas_picturata,1,0,0.0
Geotrygon_lawrencii,1,0,0.0
Columba_bollii,1,0,0.0
Starnoenas_cyanocephala,1,0,0.0
Macropygia_magna,1,0,0.0
Ducula_rosacea,1,0,0.0
Geopelia_maugeus,1,0,0.0
Treron_psittaceus,1,0,0.0
Turacoena_modesta,1,0,0.0
Gallicolumba_hoedtii,1,0,0.0
Columba_delegorguei,2,0,0.0
Columbina_cyanopis,2,0,0.0
Patagioenas_nigrirostris,2,0,0.0
Hemiphaga_novaeseelandiae,2,2,1.0
Geophaps_scripta,2,0,0.0
Leptotila_jamaicensis,2,0,0.0
Columba_unicincta,2,0,0.0
Ducula_lacernulata,2,0,0.0
Treron_griseicauda,2,1,0.5
Streptopelia_vinacea,2,1,0.5
Ptilinopus_cinctus,2,0,0.0
Geotrygon_caniceps,2,0,0.0
Columba_vitiensis,3,0,0.0
Ptilinopus_melanospilus,3,1,0.33
Caloenas_nicobarica,3,0,0.0
Columba_pulchricollis,3,0,0.0
Ptilinopus_magnificus,3,0,0.0
Ptilinopus_superbus,3,0,0.0
Columba_leucomela,3,0,0.0
Geopelia_humeralis,3,2,0.67
Lopholaimus_antarcticus,3,0,0.0
Macropygia_phasianella,3,0,0.0
Uropelia_campestris,3,0,0.0
Metriopelia_aymara,3,0,0.0
Leptotila_cassini,3,0,0.0
Macropygia_emiliana,3,0,0.0
Turtur_abyssinicus,3,2,0.67
Streptopelia_bitorquata,4,1,0.25
Patagioenas_corensis,4,0,0.0
Leucosarcia_melanoleuca,4,0,0.0
Columba_leuconota,4,0,0.0
Columba_punicea,4,0,0.0
Streptopelia_decipiens,4,3,0.75
Treron_waalia,4,0,0.0
Ptilinopus_regina,4,0,0.0
Geotrygon_chrysia,4,0,0.0
Patagioenas_squamosa,4,1,0.25
Patagioenas_araucana,4,2,0.5
Columbina_cruziana,5,4,0.8
Metriopelia_ceciliae,5,4,0.8
Zenaida_meloda,5,5,1.0
Geopelia_placida,5,0,0.0
Streptopelia_lugens,5,2,0.4
Patagioenas_inornata,5,0,0.0
Leptotila_plumbeiceps,6,0,0.0
Phaps_chalcoptera,6,1,0.17
Phaps_elegans,6,0,0.0
Ocyphaps_lophotes,6,5,0.83
Columba_rupestris,6,1,0.17
Geotrygon_albifacies,6,0,0.0
Treron_fulvicollis,6,0,0.0
Treron_capellei,6,0,0.0
Zenaida_aurita,6,2,0.33
Columba_hodgsonii,7,0,0.0
Ptilinopus_leclancheri,7,0,0.0
Treron_apicauda,7,0,0.0
Macropygia_unchall,7,0,0.0
Ptilinopus_jambu,7,0,0.0
Treron_olax,7,0,0.0
Patagioenas_leucocephala,7,3,0.43
Geotrygon_frenata,8,0,0.0
Ducula_bicolor,8,2,0.25
Turtur_afer,8,2,0.25
Treron_sphenurus,9,0,0.0
Geotrygon_linearis,9,0,0.0
Aplopelia_larvata,9,0,0.0
Macropygia_ruficeps,9,0,0.0
Treron_formosae,9,0,0.0
Columba_arquatrix,10,1,0.1
Columba_elphinstonii,10,0,0.0
Geopelia_striata,11,11,1.0
Turtur_chalcospilos,12,1,0.08
Claravis_mondetoura,13,0,0.0
Treron_vernans,13,11,0.85
Turtur_tympanistria,13,2,0.15
Columba_guinea,13,11,0.85
Treron_calvus,13,1,0.08
Claravis_godefrida,14,0,0.0
Streptopelia_roseogrisea,14,2,0.14
Metriopelia_melanoptera,14,0,0.0
Streptopelia_capicola,15,11,0.73
Treron_sieboldii,15,0,0.0
Patagioenas_subvinacea,17,0,0.0
Patagioenas_maculosa,17,7,0.41
Treron_curvirostra,17,1,0.06
Patagioenas_flavirostris,18,8,0.44
Streptopelia_semitorquata,19,18,0.95
Columbina_picui,21,14,0.67
Oena_capensis,21,1,0.05
Geotrygon_violacea,22,0,0.0
Columba_eversmanni,22,0,0.0
Patagioenas_picazuro,25,23,0.92
Columbina_squammata,28,13,0.46
Patagioenas_plumbea,28,0,0.0
Ducula_badia,33,0,0.0
Leptotila_rufaxilla,34,1,0.03
Patagioenas_speciosa,37,0,0.0
Columbina_inca,40,34,0.85
Columbina_minuta,46,2,0.04
Treron_pompadora,46,1,0.02
Treron_bicinctus,52,1,0.02
Zenaida_asiatica,53,38,0.72
Claravis_pretiosa,54,0,0.0
Ducula_aenea,57,2,0.04
Patagioenas_cayennensis,58,15,0.26
Patagioenas_fasciata,61,3,0.05
Chalcophaps_indica,63,2,0.03
Geotrygon_montana,64,0,0.0
Zenaida_auriculata,72,48,0.67
Columbina_talpacoti,73,61,0.84
Leptotila_verreauxi,82,33,0.4
Columbina_passerina,84,17,0.2
Streptopelia_orientalis,88,12,0.14
Streptopelia_tranquebarica,92,19,0.21
Treron_phoenicopterus,100,21,0.21
Columba_oenas,107,25,0.23
Stigmatopelia_senegalensis,109,0,0.0
Streptopelia_turtur,123,4,0.03
Columba_palumbus,125,98,0.78
Zenaida_macroura,138,110,0.8
Stigmatopelia_chinensis,142,0,0.0
Columba_livia,222,222,1.0
Streptopelia_decaocto,232,142,0.61
