city_id,city_name,jetz_scientific_name,present_in_city
1,Honolulu,Stigmatopelia_chinensis,false
8449,Thoothukudi,Columba_livia,true
8449,Thoothukudi,Streptopelia_decaocto,true
8449,Thoothukudi,Treron_phoenicopterus,false
8449,Thoothukudi,Ducula_aenea,false
8449,Thoothukudi,Stigmatopelia_chinensis,false
8449,Thoothukudi,Stigmatopelia_senegalensis,false
8705,Mannargudi,Columba_livia,true
8705,Mannargudi,Streptopelia_decaocto,false
8705,Mannargudi,Treron_phoenicopterus,false
8705,Mannargudi,Ducula_aenea,false
8705,Mannargudi,Stigmatopelia_chinensis,false
8705,Mannargudi,Stigmatopelia_senegalensis,false
514,Cali,Columbina_passerina,true
514,Cali,Columbina_talpacoti,true
514,Cali,Geotrygon_montana,true
514,Cali,Claravis_mondetoura,false
514,Cali,Leptotila_plumbeiceps,true
514,Cali,Leptotila_verreauxi,true
514,Cali,Patagioenas_fasciata,true
514,Cali,Patagioenas_cayennensis,true
514,Cali,Patagioenas_subvinacea,true
514,Cali,Zenaida_auriculata,true
514,Cali,Geotrygon_frenata,true
9218,Ranchi,Columba_livia,true
9218,Ranchi,Streptopelia_decaocto,true
9218,Ranchi,Streptopelia_tranquebarica,false
9218,Ranchi,Treron_phoenicopterus,false
9218,Ranchi,Ducula_aenea,false
9218,Ranchi,Treron_bicinctus,false
9218,Ranchi,Stigmatopelia_chinensis,false
9218,Ranchi,Stigmatopelia_senegalensis,false
1027,Boston,Zenaida_macroura,true
4355,Beirut,Columba_livia,true
4355,Beirut,Stigmatopelia_senegalensis,false
4356,Khartoum,Columba_livia,true
4356,Khartoum,Oena_capensis,true
4356,Khartoum,Streptopelia_decipiens,true
4356,Khartoum,Stigmatopelia_senegalensis,false
6660,Jalandhar,Columba_livia,true
6660,Jalandhar,Streptopelia_decaocto,true
6660,Jalandhar,Streptopelia_tranquebarica,true
6660,Jalandhar,Treron_phoenicopterus,true
6660,Jalandhar,Stigmatopelia_chinensis,false
6660,Jalandhar,Stigmatopelia_senegalensis,false
7428,Jalna,Columba_livia,true
7428,Jalna,Streptopelia_decaocto,false
7428,Jalna,Streptopelia_tranquebarica,false
7428,Jalna,Treron_phoenicopterus,true
7428,Jalna,Stigmatopelia_chinensis,false
7428,Jalna,Stigmatopelia_senegalensis,false
4869,Gonder,Oena_capensis,false
4869,Gonder,Streptopelia_lugens,true
